Time 	Distance	 Laps	 µ	FrictionForce
18,200	0,453183382749557	23,87500	0,22414	0,67242
18,300	0,455556064844131	24,00000	0,18204	0,54611
18,400	0,457928746938705	24,12500	0,14895	0,44684
18,500	0,460301429033279	24,25000	0,15275	0,45824
18,600	0,462674111127853	24,37500	0,18148	0,54445
18,700	0,46504682302475	24,50000	0,19930	0,59790
18,800	0,467419505119324	24,62500	0,23134	0,69403
18,900	0,469792187213898	24,75000	0,23201	0,69603
19,000	0,472164869308472	24,87500	0,21836	0,65509
19,100	0,474537551403046	25,00000	0,16993	0,50978
19,200	0,477249205112457	25,14286	0,15050	0,45150
19,300	0,479960829019547	25,28571	0,16226	0,48679
19,400	0,482672482728958	25,42857	0,19600	0,58800
19,500	0,48538413643837	25,57143	0,22056	0,66169
19,600	0,488095790147781	25,71429	0,23737	0,71211
19,700	0,490807414054871	25,85715	0,23621	0,70863
19,800	0,493519067764282	26,00000	0,20880	0,62639
19,900	0,496230721473694	26,14265	0,16288	0,48863
20,001	0,498942345380783	26,28673	0,16275	0,48824
20,101	0,501654028892517	26,42939	0,19674	0,59023
20,201	0,504365622997284	26,57204	0,21841	0,65524
20,301	0,507077276706696	26,71469	0,22954	0,68862
20,401	0,509788930416107	26,85735	0,21368	0,64103
20,501	0,512500584125519	27,00000	0,18662	0,55985
20,601	0,514873266220093	27,12500	0,16060	0,48179
20,701	0,517245948314667	27,25000	0,16269	0,48808
20,801	0,519618630409241	27,37500	0,17496	0,52487
20,901	0,521991312503815	27,50000	0,20774	0,62322
21,001	0,524363994598389	27,62500	0,23910	0,71730
21,101	0,526736676692963	27,75000	0,22795	0,68385
21,201	0,529109358787537	27,87500	0,21536	0,64609
21,301	0,531482040882111	28,00000	0,19162	0,57485
21,401	0,534193694591522	28,14285	0,15905	0,47716
21,501	0,536905348300934	28,28571	0,16674	0,50023
21,601	0,539617002010345	28,42857	0,19707	0,59120
21,701	0,542328596115112	28,57143	0,22106	0,66319
21,801	0,545040249824524	28,71429	0,24272	0,72816
21,901	0,547751903533936	28,85714	0,23959	0,71878
22,001	0,550463557243347	29,00000	0,20937	0,62811
22,101	0,552836239337921	29,12500	0,19218	0,57654
22,201	0,555208921432495	29,25000	0,16968	0,50903
22,301	0,557581603527069	29,37500	0,17253	0,51759
22,401	0,559954285621643	29,50000	0,21474	0,64421
22,501	0,562327027320862	29,62500	0,23916	0,71748
22,601	0,564699709415436	29,75000	0,24134	0,72401
22,701	0,56707239151001	29,87500	0,24742	0,74227
22,801	0,569445073604584	30,00000	0,22812	0,68437
22,901	0,571817755699158	30,12500	0,17829	0,53487
23,001	0,574190437793732	30,25000	0,18413	0,55238
23,101	0,576563119888306	30,37500	0,19111	0,57332
23,201	0,578935861587524	30,50000	0,23120	0,69360
23,301	0,581308543682098	30,62500	0,25257	0,75771
23,401	0,583681225776672	30,75000	0,25073	0,75220
23,501	0,586053907871246	30,87500	0,24328	0,72983
23,601	0,58842658996582	31,00000	0,23912	0,71737
23,701	0,591138243675232	31,14286	0,18101	0,54302
23,801	0,593849897384644	31,28572	0,18993	0,56979
23,901	0,596561551094055	31,42857	0,21729	0,65188
24,001	0,599273145198822	31,57143	0,25310	0,75931
24,101	0,601984798908234	31,71428	0,25576	0,76727
24,201	0,604696452617645	31,85714	0,26881	0,80644
24,301	0,607408106327057	32,00000	0,25947	0,77841
24,401	0,609780788421631	32,12500	0,22648	0,67945
24,501	0,612153470516205	32,25000	0,20102	0,60305
24,601	0,614526152610779	32,37500	0,19920	0,59759
24,701	0,616898834705353	32,50000	0,24048	0,72145
24,801	0,619271516799927	32,62500	0,27229	0,81687
24,901	0,621644198894501	32,75000	0,26356	0,79069
25,001	0,624016880989075	32,87500	0,28167	0,84500
25,101	0,626389563083649	33,00000	0,29808	0,89425
25,201	0,62910121679306	33,14286	0,20801	0,62403
25,301	0,631812870502472	33,28571	0,21627	0,64882
25,401	0,634524524211884	33,42857	0,21522	0,64565
25,501	0,63723611831665	33,57143	0,26270	0,78809
25,601	0,639947772026062	33,71429	0,27731	0,83192
25,701	0,642659425735474	33,85714	0,29164	0,87491
25,801	0,645371079444885	34,00000	0,29797	0,89391
25,901	0,647743761539459	34,12500	0,28964	0,86893
26,001	0,650116443634033	34,25000	0,22920	0,68761
26,101	0,652489125728607	34,37500	0,22116	0,66348
26,201	0,654861807823181	34,50000	0,24455	0,73366
26,301	0,6572345495224	34,62500	0,28915	0,86747
26,401	0,659607231616974	34,75000	0,28090	0,84270
26,501	0,661979913711548	34,87500	0,31529	0,94586
26,601	0,664352595806122	35,00000	0,35099	1,05297
26,701	0,666725277900696	35,12500	0,26371	0,79112
26,801	0,66909795999527	35,25000	0,25026	0,75079
26,901	0,671470642089844	35,37500	0,22669	0,68006
27,001	0,673843383789063	35,50000	0,28119	0,84357
27,101	0,676216065883636	35,62500	0,30170	0,90511
27,201	0,67858874797821	35,75000	0,31177	0,93530
27,301	0,680961430072784	35,87500	0,34512	1,03537
27,401	0,683334112167358	36,00000	0,37376	1,12127
27,501	0,68604576587677	36,14286	0,26745	0,80235
27,601	0,688757359981537	36,28571	0,26331	0,78994
27,701	0,691469013690948	36,42857	0,24834	0,74502
27,801	0,69418066740036	36,57143	0,31814	0,95442
27,901	0,696892321109772	36,71429	0,31351	0,94052
28,001	0,699603915214539	36,85714	0,34543	1,03630
28,101	0,70231556892395	37,00000	0,40084	1,20253
28,201	0,704688251018524	37,12500	0,34920	1,04760
28,301	0,707060933113098	37,25000	0,30758	0,92275
28,401	0,709433615207672	37,37500	0,25567	0,76702
28,501	0,711806297302246	37,50000	0,29777	0,89330
28,601	0,714179039001465	37,62500	0,34049	1,02146
28,701	0,716551721096039	37,75000	0,33430	1,00291
28,801	0,718924403190613	37,87500	0,38917	1,16750
28,901	0,721297085285187	38,00000	0,45960	1,37881
29,001	0,724008738994598	38,14286	0,34353	1,03060
29,101	0,72672039270401	38,28571	0,31586	0,94757
29,201	0,729432046413422	38,42857	0,27591	0,82773
29,301	0,732143640518188	38,57143	0,33890	1,01671
29,401	0,7348552942276	38,71429	0,34949	1,04848
29,501	0,737566947937012	38,85714	0,37420	1,12260
29,601	0,740278601646423	39,00000	0,44516	1,33548
29,701	0,742651283740997	39,12500	0,46780	1,40340
29,801	0,745023965835571	39,25000	0,37516	1,12549
29,901	0,747396647930145	39,37500	0,31393	0,94178
30,001	0,749769330024719	39,50000	0,31095	0,93286
30,101	0,752142071723938	39,62500	0,40842	1,22527
30,201	0,754514753818512	39,75000	0,35505	1,06514
30,301	0,756887435913086	39,87500	0,43132	1,29397
30,401	0,75926011800766	40,00000	0,49897	1,49692
30,501	0,761971771717072	40,14286	0,45262	1,35787
30,601	0,764683365821838	40,28571	0,39171	1,17512
30,701	0,76739501953125	40,42857	0,31717	0,95150
30,801	0,770106673240662	40,57143	0,38222	1,14666
30,901	0,772818326950073	40,71429	0,42987	1,28960
