Time 	Distance	 Laps	 µ	FrictionForce 
22,400	0,557581603527069	29,37500	0,14034	0,42102
22,500	0,559954285621643	29,50000	0,12434	0,37301
22,600	0,562327027320862	29,62500	0,11039	0,33117
22,700	0,564699709415436	29,75000	0,11338	0,34013
22,800	0,56707239151001	29,87500	0,12336	0,37009
22,900	0,569445073604584	30,00000	0,13459	0,40376
23,000	0,572156727313995	30,14286	0,16129	0,48388
23,100	0,574868381023407	30,28572	0,14924	0,44773
23,200	0,577580034732819	30,42857	0,13350	0,40051
23,300	0,580291628837585	30,57143	0,11929	0,35785
23,400	0,583003282546997	30,71428	0,11157	0,33470
23,500	0,585714936256409	30,85714	0,11507	0,34520
23,600	0,58842658996582	31,00000	0,13047	0,39140
23,700	0,590799272060394	31,12500	0,14667	0,44001
23,800	0,593171954154968	31,25000	0,16013	0,48038
23,900	0,595544636249542	31,37500	0,14491	0,43472
24,000	0,597917318344116	31,50000	0,12742	0,38227
24,100	0,600290060043335	31,62500	0,11235	0,33704
24,200	0,602662742137909	31,75000	0,11466	0,34399
24,300	0,605035424232483	31,87500	0,12091	0,36273
24,400	0,607408106327057	32,00000	0,13233	0,39698
24,500	0,609780788421631	32,12500	0,16245	0,48736
24,600	0,612153470516205	32,25000	0,15372	0,46115
24,700	0,614526152610779	32,37500	0,13752	0,41255
24,800	0,616898834705353	32,50000	0,12383	0,37148
24,900	0,619271516799927	32,62500	0,11179	0,33537
25,000	0,621644198894501	32,75000	0,11371	0,34113
25,100	0,624016880989075	32,87500	0,12913	0,38738
25,200	0,626389563083649	33,00000	0,14083	0,42250
25,300	0,62910121679306	33,14286	0,16813	0,50438
25,400	0,631812870502472	33,28571	0,14838	0,44515
25,500	0,634524524211884	33,42857	0,13089	0,39266
25,600	0,63723611831665	33,57143	0,11680	0,35039
25,700	0,639947772026062	33,71429	0,11509	0,34527
25,800	0,642659425735474	33,85714	0,11819	0,35458
25,900	0,645371079444885	34,00000	0,13205	0,39616
26,000	0,647743761539459	34,12500	0,16094	0,48282
26,100	0,650116443634033	34,25000	0,16069	0,48208
26,200	0,652489125728607	34,37500	0,14111	0,42332
26,300	0,654861807823181	34,50000	0,12805	0,38415
26,400	0,6572345495224	34,62500	0,11191	0,33573
26,500	0,659607231616974	34,75000	0,11475	0,34425
26,600	0,661979913711548	34,87500	0,12689	0,38067
26,700	0,664352595806122	35,00000	0,13694	0,41081
26,800	0,667064249515533	35,14286	0,17498	0,52492
26,900	0,669775903224945	35,28571	0,15312	0,45936
27,000	0,672487556934357	35,42857	0,13419	0,40256
27,100	0,675199151039124	35,57143	0,12150	0,36450
27,200	0,677910804748535	35,71429	0,11486	0,34458
27,300	0,680622458457947	35,85714	0,11661	0,34984
27,400	0,683334112167358	36,00000	0,13161	0,39482
27,500	0,685706794261932	36,12500	0,15158	0,45475
27,600	0,688079476356506	36,25000	0,17609	0,52828
27,700	0,69045215845108	36,37500	0,14495	0,43485
27,800	0,692824840545654	36,50000	0,13137	0,39412
27,900	0,695197522640228	36,62500	0,11573	0,34718
28,000	0,697570204734802	36,75000	0,11379	0,34137
28,100	0,699942886829376	36,87500	0,12333	0,37000
28,200	0,70231556892395	37,00000	0,13689	0,41068
28,300	0,705027222633362	37,14286	0,17399	0,52197
28,400	0,707738876342773	37,28571	0,16202	0,48606
28,500	0,710450530052185	37,42857	0,13930	0,41790
28,600	0,713162124156952	37,57143	0,12530	0,37589
28,700	0,715873777866364	37,71429	0,11384	0,34152
28,800	0,718585431575775	37,85714	0,11695	0,35084
28,900	0,721297085285187	38,00000	0,13035	0,39104
29,000	0,723669767379761	38,12500	0,14410	0,43231
29,100	0,726042449474335	38,25000	0,18571	0,55713
29,200	0,728415131568909	38,37500	0,15024	0,45072
29,300	0,730787873268127	38,50000	0,13377	0,40132
29,400	0,733160555362701	38,62500	0,12012	0,36037
29,500	0,735533237457275	38,75000	0,11536	0,34609
29,600	0,737905919551849	38,87500	0,12036	0,36109
29,700	0,740278601646423	39,00000	0,13635	0,40906
29,800	0,742651283740997	39,12500	0,16302	0,48906
29,900	0,745023965835571	39,25000	0,17711	0,53133
30,000	0,747396647930145	39,37500	0,14279	0,42838
30,100	0,749769330024719	39,50000	0,13011	0,39035
30,200	0,752142071723938	39,62500	0,11478	0,34433
30,300	0,754514753818512	39,75000	0,11717	0,35152
30,400	0,756887435913086	39,87500	0,12867	0,38600
30,500	0,75926011800766	40,00000	0,14129	0,42386
30,600	0,761971771717072	40,14286	0,18742	0,56227
30,700	0,764683365821838	40,28571	0,15716	0,47148
30,800	0,76739501953125	40,42857	0,13664	0,40993
30,900	0,770106673240662	40,57143	0,12566	0,37698
31,000	0,772818326950073	40,71429	0,11529	0,34586
31,100	0,77552992105484	40,85714	0,11879	0,35636
31,200	0,778241574764252	41,00000	0,13652	0,40955
31,300	0,780614256858826	41,12500	0,15207	0,45620
31,400	0,7829869389534	41,25000	0,19017	0,57051
31,500	0,785359621047974	41,37500	0,14862	0,44586
31,600	0,787732362747192	41,50000	0,13334	0,40001
31,700	0,790105044841766	41,62500	0,11859	0,35578
31,800	0,79247772693634	41,75000	0,11757	0,35272
31,900	0,794850409030914	41,87500	0,12516	0,37549
32,000	0,797223091125488	42,00000	0,14094	0,42283
32,100	0,7999347448349	42,14286	0,17470	0,52409
32,200	0,802646398544312	42,28571	0,17582	0,52746
32,300	0,805358052253723	42,42857	0,14237	0,42712
32,400	0,80806964635849	42,57143	0,13009	0,39028
32,500	0,810781300067902	42,71429	0,11561	0,34682
32,600	0,813492953777313	42,85714	0,11901	0,35704
32,700	0,816204607486725	43,00000	0,13537	0,40612
32,800	0,818577289581299	43,12500	0,14787	0,44362
32,900	0,820949971675873	43,25000	0,19513	0,58539
33,000	0,823322653770447	43,37500	0,15639	0,46916
33,100	0,825695395469666	43,50000	0,13772	0,41315
33,200	0,82806807756424	43,62500	0,12330	0,36989
33,300	0,830440759658813	43,75000	0,11816	0,35447
33,400	0,832813441753387	43,87500	0,12299	0,36897
33,500	0,835186123847961	44,00000	0,14053	0,42159
33,600	0,837558805942535	44,12500	0,16249	0,48748
33,700	0,839931488037109	44,25000	0,19262	0,57786
33,800	0,842304170131683	44,37500	0,14670	0,44009
33,900	0,844676852226257	44,50000	0,13439	0,40316
34,000	0,847049593925476	44,62500	0,11792	0,35375
34,100	0,84942227602005	44,75000	0,11882	0,35646
34,200	0,851794958114624	44,87500	0,13270	0,39811
34,300	0,854167640209198	45,00000	0,14601	0,43803
34,400	0,85687929391861	45,14286	0,18359	0,55078
34,500	0,859590888023376	45,28571	0,17233	0,51700
34,600	0,862302541732788	45,42857	0,14249	0,42747
34,700	0,8650141954422	45,57143	0,12895	0,38685
34,800	0,867725849151611	45,71429	0,11743	0,35230
34,900	0,870437443256378	45,85714	0,12250	0,36750
35,000	0,87314909696579	46,00000	0,14030	0,42091
35,100	0,875521779060364	46,12500	0,15648	0,46943
35,200	0,877894461154938	46,25000	0,19660	0,58979
35,300	0,880267143249512	46,37500	0,15584	0,46753
35,400	0,88263988494873	46,50000	0,13827	0,41482
35,500	0,885012567043304	46,62500	0,12201	0,36604
35,600	0,887385249137878	46,75000	0,12021	0,36063
35,700	0,889757931232452	46,87500	0,12851	0,38553
35,800	0,892130613327026	47,00000	0,14599	0,43799
35,900	0,894842267036438	47,14286	0,17385	0,52154
36,000	0,89755392074585	47,28571	0,18802	0,56406
36,100	0,900265574455261	47,42857	0,14690	0,44071
36,200	0,902977168560028	47,57143	0,13623	0,40868
36,300	0,90568882226944	47,71429	0,11753	0,35259
36,400	0,908400475978851	47,85714	0,12070	0,36211
36,500	0,911112129688263	48,00000	0,14018	0,42055
36,600	0,913484811782837	48,12500	0,15289	0,45867
36,700	0,915857493877411	48,25000	0,19239	0,57718
36,800	0,918230175971985	48,37500	0,17149	0,51447
36,900	0,920602917671204	48,50000	0,14124	0,42372
37,000	0,922975599765778	48,62500	0,12786	0,38357
37,100	0,925348281860352	48,75000	0,12043	0,36130
37,200	0,927720963954926	48,87500	0,12526	0,37578
37,300	0,9300936460495	49,00000	0,14642	0,43926
37,400	0,932466328144073	49,12500	0,16999	0,50996
37,500	0,934839010238647	49,25000	0,19907	0,59720
37,600	0,937211692333221	49,37500	0,15253	0,45759
37,700	0,939584374427795	49,50000	0,14180	0,42539
37,800	0,941957056522369	49,62500	0,11998	0,35995
37,900	0,944329738616943	49,75000	0,12118	0,36354
38,000	0,946702420711517	49,87500	0,13739	0,41216
38,100	0,949075102806091	50,00000	0,15244	0,45732
38,200	0,951786756515503	50,14286	0,18804	0,56411
38,300	0,954498410224915	50,28571	0,18829	0,56486
38,400	0,957210063934326	50,42857	0,14666	0,43997
38,500	0,959921658039093	50,57143	0,13415	0,40247
38,600	0,962633311748505	50,71429	0,12003	0,36008
38,700	0,965344965457916	50,85714	0,12458	0,37375
38,800	0,968056619167328	51,00000	0,14684	0,44052
38,900	0,970429301261902	51,12500	0,16712	0,50137
39,000	0,972801983356476	51,25000	0,20148	0,60443
39,100	0,97517466545105	51,37500	0,16210	0,48630
39,200	0,977547407150269	51,50000	0,14587	0,43761
39,300	0,979920089244843	51,62500	0,12689	0,38067
39,400	0,982292771339417	51,75000	0,12087	0,36262
39,500	0,98466545343399	51,87500	0,13422	0,40267
39,600	0,987038135528564	52,00000	0,15470	0,46409
39,700	0,989749789237976	52,14286	0,18508	0,55524
39,800	0,992461383342743	52,28571	0,19999	0,59997
39,900	0,995173037052155	52,42857	0,15345	0,46035
40,000	0,997884690761566	52,57143	0,14089	0,42268
40,100	1,00059628486633	52,71429	0,12128	0,36384
40,200	1,00330793857574	52,85714	0,12556	0,37668
40,300	1,00601959228516	53,00000	0,14588	0,43765
40,400	1,00839233398438	53,12500	0,16498	0,49495
40,500	1,0107649564743	53,25000	0,20305	0,60914
40,600	1,01313769817352	53,37500	0,18217	0,54651
40,700	1,01551032066345	53,50000	0,14870	0,44609
40,800	1,01788306236267	53,62500	0,13610	0,40831
40,900	1,02025580406189	53,75000	0,12066	0,36198
41,000	1,02262842655182	53,87500	0,13156	0,39468
41,100	1,02500116825104	54,00000	0,15656	0,46968
41,200	1,02737379074097	54,12500	0,18564	0,55693
41,300	1,02974653244019	54,25000	0,20603	0,61808
41,400	1,0321192741394	54,37500	0,16497	0,49491
41,500	1,03449189662933	54,50000	0,14765	0,44296
41,600	1,03686451911926	54,62500	0,12673	0,38018
41,700	1,03923726081848	54,75000	0,12649	0,37947
41,800	1,0416100025177	54,87500	0,14410	0,43229
41,900	1,04398262500763	55,00000	0,16373	0,49118
42,000	1,04669427871704	55,14286	0,20506	0,61518
42,100	1,04940593242645	55,28571	0,19793	0,59380
42,200	1,05211758613586	55,42857	0,15419	0,46258
42,300	1,05482912063599	55,57143	0,14464	0,43393
42,400	1,0575407743454	55,71429	0,12288	0,36865
42,500	1,06025242805481	55,85714	0,13056	0,39167
42,600	1,06296408176422	56,00000	0,15757	0,47270
42,700	1,06533682346344	56,12500	0,18030	0,54089
42,800	1,06770944595337	56,25000	0,21442	0,64326
42,900	1,07008218765259	56,37500	0,18045	0,54136
43,000	1,07245492935181	56,50000	0,15363	0,46089
43,100	1,07482755184174	56,62500	0,13513	0,40539
43,200	1,07720029354095	56,75000	0,12413	0,37240
43,300	1,07957291603088	56,87500	0,14346	0,43037
43,400	1,0819456577301	57,00000	0,16600	0,49800
43,500	1,08465731143951	57,14286	0,20017	0,60051
43,600	1,08736896514893	57,28571	0,21457	0,64371
43,700	1,09008061885834	57,42857	0,16339	0,49018
43,800	1,09279215335846	57,57143	0,14946	0,44839
43,900	1,09550380706787	57,71429	0,12935	0,38806
44,000	1,09821546077728	57,85714	0,13097	0,39290
44,100	1,10092711448669	58,00000	0,15599	0,46797
44,200	1,10329985618591	58,12500	0,17732	0,53197
44,300	1,10567247867584	58,25000	0,21934	0,65801
44,400	1,10804522037506	58,37500	0,19510	0,58529
44,500	1,11041784286499	58,50000	0,15857	0,47572
44,600	1,11279058456421	58,62500	0,14658	0,43974
44,700	1,11516332626343	58,75000	0,12359	0,37077
44,800	1,11753594875336	58,87500	0,14134	0,42403
44,900	1,11990869045258	59,00000	0,17105	0,51314
45,000	1,1222813129425	59,12500	0,19540	0,58620
45,100	1,12465405464172	59,25000	0,22355	0,67064
45,200	1,12702679634094	59,37500	0,17697	0,53092
45,300	1,12939941883087	59,50000	0,15395	0,46186
45,400	1,1317720413208	59,62500	0,13957	0,41870
45,500	1,13414478302002	59,75000	0,13037	0,39112
45,600	1,13651752471924	59,87500	0,15606	0,46819
45,700	1,13889014720917	60,00000	0,17936	0,53809
45,800	1,14160180091858	60,14286	0,22052	0,66155
45,900	1,14431345462799	60,28571	0,21190	0,63570
46,000	1,1470251083374	60,42857	0,16518	0,49555
46,100	1,14973664283752	60,57143	0,15588	0,46765
46,200	1,15244829654694	60,71429	0,12940	0,38821
46,300	1,15515995025635	60,85714	0,14005	0,42016
46,400	1,15787160396576	61,00000	0,17414	0,52242
46,500	1,16024434566498	61,12500	0,19121	0,57363
46,600	1,16261696815491	61,25000	0,23673	0,71020
46,700	1,16498970985413	61,37500	0,19359	0,58076
46,800	1,16736245155334	61,50000	0,15982	0,47946
46,900	1,16973507404327	61,62500	0,15189	0,45567
47,000	1,17210781574249	61,75000	0,13035	0,39106
47,100	1,17448043823242	61,87500	0,15391	0,46173
47,200	1,17685317993164	62,00000	0,18579	0,55736
47,300	1,17956483364105	62,14286	0,21799	0,65396
47,400	1,18227648735046	62,28571	0,22853	0,68560
47,500	1,18498814105988	62,42857	0,18158	0,54473
47,600	1,18769967556	62,57143	0,15980	0,47939
47,700	1,19041132926941	62,71429	0,14141	0,42423
47,800	1,19312298297882	62,85714	0,13925	0,41774
47,900	1,19583463668823	63,00000	0,17512	0,52536
48,000	1,19820737838745	63,12500	0,19393	0,58178
48,100	1,20058000087738	63,25000	0,23968	0,71905
48,200	1,2029527425766	63,37500	0,20802	0,62407
48,300	1,20532536506653	63,50000	0,16979	0,50938
48,400	1,20769810676575	63,62500	0,16083	0,48250
48,500	1,21007084846497	63,75000	0,13491	0,40474
